Type, Quantum, Average Response Time, Context Switch Time
mlfq, 180000, 1.24009197, 0.00005629
rr, 180000, 1.12619951, 0.00016189
mlfq, 185000, 1.25546431, 0.00005776
rr, 185000, 1.15791705, 0.00014695
mlfq, 190000, 1.27101721, 0.00006865
rr, 190000, 1.18911400, 0.00020680
mlfq, 195000, 1.28829818, 0.00030479
rr, 195000, 1.17156225, 0.00012453
mlfq, 200000, 1.30390971, 0.00007760
rr, 200000, 1.20172499, 0.00016650
mlfq, 205000, 1.32068315, 0.00006202
rr, 205000, 1.23132118, 0.00021804
mlfq, 210000, 1.33676269, 0.00006160
rr, 210000, 1.26154682, 0.00015379
mlfq, 215000, 1.35323023, 0.00005517
rr, 215000, 1.29158117, 0.00014806
mlfq, 220000, 1.36900901, 0.00005937
rr, 220000, 1.32158670, 0.00015910
mlfq, 225000, 1.38580361, 0.00006530
rr, 225000, 1.35152554, 0.00015037
mlfq, 230000, 1.40189687, 0.00005971
rr, 230000, 1.38156639, 0.00015351
mlfq, 235000, 1.41804533, 0.00006069
rr, 235000, 1.35276701, 0.00014520
mlfq, 240000, 1.43452239, 0.00006153
rr, 240000, 1.38135552, 0.00013710
mlfq, 245000, 1.45060168, 0.00005978
rr, 245000, 1.41019931, 0.00015945
mlfq, 250000, 1.46676456, 0.00004972
rr, 250000, 1.43850014, 0.00014625
fcfs, 0, 1.42278572, 0.00000761
sjf, 0, 0.51662909, 0.00000712
mlfq, 0, 1.41782690, 0.00001634
rr, 0, 0.79879225, 0.05151776
mlfq, 5000, 1.42629365, 0.00001809
rr, 5000, 0.68588979, 0.00106907
